gene_id	Zscore
ACRBP|84519	0.007483258
ACRC|93953	-0.238636407
ACRV1|56	0.136922184
ACR|49	-0.046979177
ACSBG1|23205	0.406808324
ACSBG2|81616	0.34617853
ACSF2|80221	-0.554745921
ACSF3|197322	0.442314884
ACSL1|2180	0.022848278
ACSL3|2181	-0.413244408
ACSL4|2182	-0.198332727
ACSL5|51703	0.396480839
ACSL6|23305	-0.255275576
ACSM1|116285	0.609455384
ACSM2A|123876	0.163470553
ACSM2B|348158	-0.099036939
ACSM3|6296	-0.34367996
ACSM4|341392	-0.349593905
ACSM5|54988	-0.017985252
ACSS1|84532	0.313854207
ACSS2|55902	0.487489593
ACSS3|79611	-0.396637358
ACTA1|58	-0.546527905
ACTA2|59	-0.082861824
ACTBL2|345651	0.0608487
ACTB|60	-0.252168614
ACTC1|70	-0.101389631
ACTG1|71	-0.677529918
ACTG2|72	-0.287823645
ACTL6A|86	-0.298147934
ACTL6B|51412	-0.141694628
ACTL7A|10881	0.047882002
ACTL7B|10880	0.263417385
ACTL8|81569	-0.569091752
ACTL9|284382	0.497613738
ACTN1|87	-0.378347466
ACTN2|88	-0.299069765
ACTN3|89	-0.340935157
ACTN4|81	0.563832158
ACTR10|55860	-0.036283366
ACTR1A|10121	0.324481328
ACTR1B|10120	-0.521592844
ACTR2|10097	0.249810261
ACTR3B|57180	-0.021247184
ACTR3C|653857	0.437586444
ACTR3|10096	-0.326835496
ACTR5|79913	0.283094533
ACTR6|64431	0.360235748
ACTR8|93973	-0.388062502
ACTRT1|139741	0.036359257
ACTRT2|140625	0.233557755
ACVR1B|91	-0.122986364
ACVR1C|130399	0.439379161
ACVR1|90	-0.206465094
ACVR2A|92	-0.39977341
ACVR2B|93	-0.670440948
ACVRL1|94	0.431381668
ACY1|95	-0.290078974
ACY3|91703	-0.275066217
ACYP1|97	0.009520504
ACYP2|98	-0.035360046
ADAD1|132612	0.166924794
ADAD2|161931	-0.05147491
ADAL|161823	0.093506137
ADAM10|102	-1.226367763
ADAM11|4185	0.006438567
ADAM12|8038	-0.491346464
ADAM15|8751	-0.087117067
ADAM17|6868	-0.286981506
ADAM18|8749	-0.254738998
ADAM19|8728	0.223498096
ADAM20|8748	-0.299552676
ADAM21P1|145241	0.167184663
ADAM21|8747	0.042500283
ADAM22|53616	0.269685601
ADAM23|8745	-0.394635634
ADAM28|10863	-0.158424199
ADAM29|11086	-0.022099666
ADAM2|2515	0.222838191
ADAM30|11085	0.108826509
ADAM32|203102	-0.318708402
ADAM33|80332	0.008482049
ADAM3A|1587	0.21728459
ADAM5P|255926	-0.097978461
ADAM6|8755	0.012671935
ADAM7|8756	-0.046695437
ADAM8|101	-0.30620512
ADAM9|8754	-0.313539409
ADAMDEC1|27299	0.49990022
ADAMTS10|81794	0.078636705
ADAMTS12|81792	-0.278826055
ADAMTS13|11093	-0.286547404
ADAMTS14|140766	0.30432524
ADAMTS15|170689	0.233174077
ADAMTS16|170690	0.219136506
ADAMTS17|170691	0.396928449
ADAMTS18|170692	-0.013946011
ADAMTS19|171019	-0.165317073
ADAMTS1|9510	0.002641887
ADAMTS20|80070	-0.305192764
ADAMTS2|9509	-0.026479557
ADAMTS3|9508	-0.21784171
ADAMTS4|9507	0.622915091
ADAMTS5|11096	-0.309905662
ADAMTS6|11174	0.26045349
ADAMTS7|11173	0.220991358
ADAMTS8|11095	-0.209508056
ADAMTS9|56999	0.029429473
ADAMTSL1|92949	-0.535914757
ADAMTSL2|9719	0.195649884
ADAMTSL3|57188	0.652016262
ADAMTSL4|54507	-0.289050942
ADAMTSL5|339366	0.263362772
ADAP1|11033	0.777277568
ADAP2|55803	0.187142339
ADARB1|104	0.343158127
ADARB2|105	-0.074531453
ADAR|103	-0.110696447
ADAT1|23536	-0.679301397
ADAT2|134637	-0.014568498
ADAT3|113179	-0.209656033
ADA|100	0.00651877
ADCK1|57143	-0.519565699
ADCK2|90956	-0.285221969
ADCK4|79934	0.006906362
ADCK5|203054	-0.403488525
ADCY10|55811	-0.485184974
ADCY1|107	-0.346833998
ADCY2|108	0.384020466
ADCY3|109	0.204890972
ADCY4|196883	0.464012593
ADCY5|111	-0.316153311
ADCY6|112	0.241051968
ADCY7|113	-0.038652432
ADCY8|114	-0.328214357
ADCY9|115	0.062226724
ADCYAP1R1|117	0.57113923
ADCYAP1|116	0.003841389
ADC|113451	-0.034698422
ADD1|118	-0.401266043
ADD2|119	-0.799473186
ADD3|120	-0.135797396
ADH1A|124	-0.189790613
ADH1B|125	-0.07787814
ADH1C|126	0.086579932
ADH4|127	0.682978244
ADH5|128	-0.162513927
ADH6|130	-0.037165603
ADH7|131	-0.14644958
ADHFE1|137872	-0.571349373
ADI1|55256	0.2045645
ADIG|149685	-0.142912052
ADIPOQ|9370	0.517267026
ADIPOR1|51094	-0.057284331
ADIPOR2|79602	-0.02329829
ADK|132	0.154157335
ADM2|79924	-0.453366245
ADM|133	-0.117701758
ADNP2|22850	0.120066863
ADNP|23394	0.153260076
ADORA1|134	-0.050694247
ADORA2A|135	-0.147052945
ADORA2B|136	0.543888389
ADORA3|140	0.261732195
ADO|84890	-0.126596672
ADPGK|83440	-0.234549558
ADPRHL1|113622	-0.529603607
ADPRHL2|54936	-0.453881727
ADPRH|141	0.581665971
ADRA1A|148	0.043599666
ADRA1B|147	0.672196234
ADRA1D|146	-0.159763848
ADRA2A|150	-0.208353991
ADRA2B|151	0.073591674
ADRA2C|152	-0.280862957
ADRB1|153	-0.132885483
ADRB2|154	0.663693519
ADRB3|155	-0.043831218
ADRBK1|156	0.414020538
ADRBK2|157	-0.259127212
ADRM1|11047	0.228035191
ADSL|158	0.047543331
ADSSL1|122622	0.283573795
ADSS|159	0.481668488
AEBP1|165	-0.474165298
AEBP2|121536	-0.405490168
AEN|64782	-0.067251756
AES|166	0.263315926
AFAP1L1|134265	0.335357897
AFAP1L2|84632	0.162475109
AFAP1|60312	0.181167015
AFARP1|246182	-0.596368626
AFF1|4299	0.002893141
AFF2|2334	-0.366550608
AFF3|3899	0.196907782
AFF4|27125	0.390103233
AFG3L1|172	-0.041448535
AFG3L2|10939	-0.20202128
AFMID|125061	0.822293735
AFM|173	0.148434272
AFP|174	0.353503497
AFTPH|54812	-0.109405603
AG2|387763	0.006838506
AGAP11|119385	-0.027116133
AGAP1|116987	0.060631285
AGAP2|116986	0.16365543
AGAP3|116988	0.24331217
AGAP4|119016	0.307719959
AGAP5|729092	0.038750413
AGAP6|414189	0.447709914
AGAP7|653268	-0.543681196
AGAP8|728404	-0.318861488
AGA|175	-0.457413627
AGBL1|123624	-0.062871141
AGBL2|79841	-0.158687323
AGBL3|340351	0.335439116
AGBL4|84871	-0.305273641
AGBL5|60509	0.036549044
AGER|177	-0.649892907
AGFG1|3267	-0.179956121
AGFG2|3268	-0.462126617
AGGF1|55109	-0.314534669
AGK|55750	0.080865781
AGL|178	-0.723684528
AGMAT|79814	-0.024832181
AGPAT1|10554	-0.397323487
AGPAT2|10555	-0.131530655
AGPAT3|56894	0.216076708
AGPAT4|56895	-0.11713445
AGPAT5|55326	0.005152543
AGPAT6|137964	0.153493996
AGPAT9|84803	-0.132216284
AGPHD1|123688	-0.167172143
AGPS|8540	0.134662293
AGR2|10551	0.127989423
AGR3|155465	-0.115886608
AGRN|375790	0.85324845
AGRP|181	-0.332534399
AGTPBP1|23287	-0.150219204
AGTR1|185	0.059194755
AGTR2|186	0.099841908
AGTRAP|57085	-0.301977178
AGT|183	-0.07602732
AGXT2L1|64850	-0.102629254
AGXT2L2|85007	-0.501880589
AGXT2|64902	-0.096367518
AGXT|189	0.346363233
AHCTF1|25909	-0.092185304
AHCYL1|10768	-0.133595223
AHCYL2|23382	-0.025877706
AHCY|191	-0.48599395
AHDC1|27245	-0.031921206
AHI1|54806	0.256290157
AHNAK2|113146	-0.216043122
AHNAK|79026	0.019231049
AHRR|57491	0.368741273
AHR|196	-0.116891673
AHSA1|10598	0.399492149
AHSA2|130872	-0.245647979
AHSG|197	0.316434636
AHSP|51327	0.027255666
AICDA|57379	0.083185375
AIDA|64853	0.457733912
AIF1L|83543	-0.064404697
AIF1|199	-0.032582703
AIFM1|9131	-0.227986539
AIFM2|84883	-0.071691424
AIFM3|150209	-0.125754971
AIG1|51390	-0.372359622
AIM1L|55057	-0.089815754
AIM1|202	-0.2187051
AIM2|9447	0.033134814
AIMP1|9255	-0.133338371
AIMP2|7965	0.343308079
AIPL1|23746	0.50382356
AIP|9049	-0.023924954
AIRE|326	-0.293206856
AJAP1|55966	0.353554564
AK1|203	-0.045366361
AK2|204	-0.111172187
AK3L1|205	-0.307798654
AK3|50808	0.053381955
AK5|26289	-0.142475051
AK7|122481	0.359818727
AKAP10|11216	0.214491303
AKAP11|11215	0.199198557
AKAP12|9590	-0.229386865
AKAP13|11214	-1.01881714
AKAP14|158798	0.140767115
AKAP1|8165	0.309558842
AKAP2|11217	0.330992962
AKAP3|10566	0.109078129
AKAP4|8852	0.144599221
AKAP5|9495	0.283451972
AKAP6|9472	-0.337074751
AKAP7|9465	-0.488395675
AKAP8L|26993	-0.797835878
AKAP8|10270	-0.47868341
AKAP9|10142	-0.43635931
AKD1|221264	0.723466225
AKIRIN1|79647	-0.170845502
AKIRIN2|55122	-0.199662738
AKNAD1|254268	-0.134250173
AKNA|80709	-0.164866334
AKR1A1|10327	0.199134602
AKR1B10|57016	0.116112662
AKR1B15|441282	-0.029390862
AKR1B1|231	0.043621645
AKR1C1|1645	-0.016813988
AKR1C2|1646	-0.540337053
AKR1C3|8644	-0.100809559
AKR1C4|1109	-0.153778875
AKR1CL1|340811	-0.197166333
AKR1D1|6718	-0.407735495
AKR1E2|83592	0.33385922
AKR7A2|8574	0.039992941
AKR7A3|22977	-0.087039207
AKR7L|246181	-0.187767897
AKT1S1|84335	0.267975158
AKT1|207	-0.129107712
AKT2|208	-0.159991761
AKT3|10000	0.306953027
AKTIP|64400	-0.238589352
ALAD|210	-0.191679458
ALAS1|211	0.116642686
ALAS2|212	-0.100861108
ALB|213	-0.842627698
ALCAM|214	-0.3641192
ALDH16A1|126133	-0.600565823
ALDH18A1|5832	0.200423521
ALDH1A1|216	0.169607914
ALDH1A2|8854	0.371888694
ALDH1A3|220	0.246060962
ALDH1B1|219	-0.613453474
ALDH1L1|10840	0.363386789
ALDH1L2|160428	-0.288582135
ALDH2|217	-0.160567083
ALDH3A1|218	0.119863703
ALDH3A2|224	0.054117443
ALDH3B1|221	0.080140337
ALDH3B2|222	0.102832521
ALDH4A1|8659	-0.507249912
ALDH5A1|7915	0.128577769
ALDH6A1|4329	-0.184604036
ALDH7A1|501	-0.411644801
ALDH8A1|64577	-0.048085251
ALDH9A1|223	0.598438001
ALDOA|226	-0.429619656
ALDOB|229	-0.559454288
ALDOC|230	0.306369451
ALG10B|144245	-0.186685439
ALG10|84920	0.137700736
ALG11|440138	0.187744715
ALG12|79087	-0.060950267
ALG13|79868	-0.301086248
ALG14|199857	-0.16713372
ALG1L2|644974	0.001708499
ALG1L|200810	0.402639841
ALG1|56052	0.155223762
ALG2|85365	-0.156148321
ALG3|10195	0.298324468
ALG5|29880	-0.427843588
ALG6|29929	0.609232672
ALG8|79053	-0.352440407
ALG9|79796	0.066753563
ALKBH1|8846	0.157594942
ALKBH2|121642	0.269158778
ALKBH3|221120	-0.070838857
ALKBH4|54784	-0.284355229
ALKBH5|54890	-0.296387995
ALKBH6|84964	-0.037243099
ALKBH7|84266	0.075329849
ALKBH8|91801	-0.119195445
ALK|238	-0.363748859
ALLC|55821	-0.147917414
ALMS1P|200420	0.119478845
ALMS1|7840	0.04300047
ALOX12B|242	0.198425753
ALOX12P2|245	-0.039996054
ALOX12|239	-0.143283089
ALOX15B|247	-0.145850403
ALOX15|246	-0.053559635
ALOX5AP|241	0.184227185
ALOX5|240	-0.083941531
ALOXE3|59344	0.815423829
ALPI|248	-0.043128343
ALPK1|80216	0.119177654
ALPK2|115701	-0.114328351
ALPK3|57538	0.013701706
ALPL|249	0.120025709
ALPPL2|251	0.056212273
ALPP|250	-0.303857893
ALS2CL|259173	0.565412205
ALS2CR11|151254	-0.141333666
ALS2CR12|130540	-0.078439027
ALS2CR4|65062	0.340392603
ALS2CR8|79800	0.035532518
ALS2|57679	-0.2570589
ALX1|8092	0.305732445
ALX3|257	0.296272925
ALX4|60529	-0.200027569
AMAC1L2|83650	-0.755779809
AMAC1L3|643664	0.240111629
AMAC1|146861	0.094204414
AMACR|23600	0.167146311
AMBN|258	0.000685371
AMBP|259	-0.052435241
AMBRA1|55626	0.393558123
AMD1|262	0.06134986
AMDHD1|144193	0.677013748
AMDHD2|51005	-0.326822567
AMELX|265	0.186486947
AMELY|266	0.141652311
AMFR|267	0.159504905
AMHR2|269	-0.023706665
AMH|268	-0.396506669
AMICA1|120425	-0.470636765
AMIGO1|57463	0.701789093
AMIGO2|347902	0.32419209
AMIGO3|386724	0.317442805
AMMECR1L|83607	0.495409931
AMMECR1|9949	-0.050868678
AMN1|196394	0.00673984
AMN|81693	0.213345298
AMOTL1|154810	-0.645845516
AMOTL2|51421	0.152717104
AMOT|154796	0.180427665
AMPD1|270	0.044584639
AMPD2|271	0.364522621
AMPD3|272	0.018835672
AMPH|273	-0.224700377
AMTN|401138	0.026710309
AMT|275	-0.12828274
AMY1A|276	0.281186859
